Anime Title
Attack on Titan
Death Note
Fullmetal Alchemist: Brotherhood
One Punch Man
Sword Art Online
My Hero Academia
Tokyo Ghoul
Naruto
Demon Slayer: Kimetsu no Yaiba
Hunter x Hunter
Your Name
Attack on Titan Season 2
Steins;Gate
My Hero Academia 2
"No Game, No Life"
Naruto: Shippuden
Code Geass: Lelouch of the Rebellion
Toradora!
A Silent Voice
Attack on Titan Season 3
Your Lie in April
Noragami
Re:ZERO -Starting Life in Another World-
Angel Beats!
My Hero Academia 3
One Piece
Jujutsu Kaisen (TV)
Akame ga Kill!
The Future Diary
The Seven Deadly Sins
ERASED
Sword Art Online II
Blue Exorcist
Assassination Classroom
Mob Psycho 100
KonoSuba: God's Blessing on This Wonderful World!
Haikyu!!
The Promised Neverland
Bleach
Parasyte -the maxim-
Cowboy Bebop
Spirited Away
Attack on Titan
Death Note
Fullmetal Alchemist: Brotherhood
One Punch Man
Sword Art Online
My Hero Academia
Tokyo Ghoul
Naruto
Demon Slayer: Kimetsu no Yaiba
Hunter x Hunter
Your Name
Attack on Titan Season 2
Steins;Gate
My Hero Academia 2
"No Game, No Life"
Naruto: Shippuden
Code Geass: Lelouch of the Rebellion
Toradora!
A Silent Voice
Attack on Titan Season 3
Your Lie in April
Noragami
Re:ZERO -Starting Life in Another World-
Angel Beats!
My Hero Academia 3
One Piece
Jujutsu Kaisen (TV)
Akame ga Kill!
The Future Diary
The Seven Deadly Sins
ERASED
Sword Art Online II
Blue Exorcist
Assassination Classroom
Mob Psycho 100
KonoSuba: God's Blessing on This Wonderful World!
Haikyu!!
The Promised Neverland
Bleach
Parasyte -the maxim-
Cowboy Bebop
Spirited Away
